Session,GlobalIndex,LocalIndex,TargetChar,AngleX,AngleY,UserInput,IsCorrect,FontSize,SpawnZone,,,,,,
28,252,9,T,49.8,-35.66,NotVisible,FALSE,6.5,Bottom-Right,,,,,,
29,253,1,C,-52.75,23.09,NotVisible,FALSE,46.1,Top-Left,,,,,,
29,254,2,Z,5.98,32.98,NotVisible,FALSE,10.6,Top-Center,,,,,,
29,255,3,P,30.38,21.59,NotVisible,FALSE,10.6,Top-Right,,,,,,
29,256,4,T,-53.79,-20.21,NotVisible,FALSE,28.3,Middle-Left,,,,,,
29,257,5,L,11.61,-15,L,TRUE,10.6,Middle-Center,,,,,,
29,258,6,O,50.37,-17.6,NotVisible,FALSE,75.3,Middle-Right,,,,,,
29,259,7,E,-45.6,-37.15,NotVisible,FALSE,122.9,Bottom-Left,,,,,,
29,260,8,F,9.79,-46.47,NotVisible,FALSE,6.5,Bottom-Center,,,,,,
29,261,9,D,52.82,-49.18,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
30,262,1,C,-53.46,30.01,NotVisible,FALSE,28.3,Top-Left,,,,,,
30,263,2,F,21.27,31.35,NotVisible,FALSE,28.3,Top-Center,,,,,,
30,264,3,L,30.08,30.31,L,TRUE,75.3,Top-Right,,,,,,
30,265,4,Z,-32.35,-24.63,Z,TRUE,28.3,Middle-Left,,,,,,
30,266,5,T,-12.14,-17.49,T,TRUE,46.1,Middle-Center,,,,,,
30,267,6,D,35.03,-12.93,D,TRUE,46.1,Middle-Right,,,,,,
30,268,7,E,-41.92,-49.15,NotVisible,FALSE,17.3,Bottom-Left,,,,,,
30,269,8,O,4.26,-43.25,O,TRUE,122.9,Bottom-Center,,,,,,
30,270,9,P,49.66,-35.39,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
31,271,1,C,-47.54,34.57,NotVisible,FALSE,46.1,Top-Left,,,,,,
31,272,2,D,-7.56,28.71,D,TRUE,75.3,Top-Center,,,,,,
31,273,3,T,44.38,38.74,NotVisible,FALSE,6.5,Top-Right,,,,,,
31,274,4,F,-53.97,-12.04,NotVisible,FALSE,75.3,Middle-Left,,,,,,
31,275,5,L,16.51,-9.44,L,TRUE,201,Middle-Center,,,,,,
31,276,6,Z,47.95,-2.36,NotVisible,FALSE,10.6,Middle-Right,,,,,,
31,277,7,P,-45.8,-39.89,NotVisible,FALSE,122.9,Bottom-Left,,,,,,
31,278,8,O,-13.8,-48.21,C,FALSE,201,Bottom-Center,,,,,,
31,279,9,E,35.72,-51.54,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
32,280,1,P,-48.45,19.94,NotVisible,FALSE,46.1,Top-Left,,,,,,
32,281,2,T,-17.4,31.21,NotVisible,FALSE,10.6,Top-Center,,,,,,
32,282,3,L,47.66,21.06,L,TRUE,122.9,Top-Right,,,,,,
32,283,4,E,-36.82,0.16,E,TRUE,28.3,Middle-Left,,,,,,
32,284,5,O,-18.45,6.11,O,TRUE,28.3,Middle-Center,,,,,,
32,285,6,C,38.86,2.54,NotVisible,FALSE,10.6,Middle-Right,,,,,,
32,286,7,F,-51.52,-44.48,NotVisible,FALSE,46.1,Bottom-Left,,,,,,
32,287,8,D,2.74,-49.07,NotVisible,FALSE,17.3,Bottom-Center,,,,,,
32,288,9,Z,35.24,-36.46,NotVisible,FALSE,10.6,Bottom-Right,,,,,,
33,289,1,Z,-31.07,19.56,Z,TRUE,75.3,Top-Left,,,,,,
33,290,2,F,18.63,18.74,NotVisible,FALSE,10.6,Top-Center,,,,,,
33,291,3,E,42.28,16.28,E,TRUE,122.9,Top-Right,,,,,,
33,292,4,P,-32.85,-8.06,P,TRUE,28.3,Middle-Left,,,,,,
33,293,5,L,15.67,-18.34,L,TRUE,201,Middle-Center,,,,,,
33,294,6,O,31.57,4.81,O,TRUE,75.3,Middle-Right,,,,,,
33,295,7,C,-44.81,-49.34,NotVisible,FALSE,201,Bottom-Left,,,,,,
33,296,8,D,1.17,-49.88,NotVisible,FALSE,10.6,Bottom-Center,,,,,,
33,297,9,T,45.51,-35.72,NotVisible,FALSE,28.3,Bottom-Right,,,,,,
34,298,1,O,-34.14,37.92,NotVisible,FALSE,122.9,Top-Left,,,,,,
34,299,2,D,-9.33,16.11,D,TRUE,122.9,Top-Center,,,,,,
34,300,3,C,49.73,23.74,NotVisible,FALSE,75.3,Top-Right,,,,,,
34,301,4,F,-35.6,-5.56,F,TRUE,46.1,Middle-Left,,,,,,
34,302,5,L,-21.52,-5.41,L,TRUE,6.5,Middle-Center,,,,,,
34,303,6,T,53.89,-7.6,NotVisible,FALSE,46.1,Middle-Right,,,,,,
34,304,7,Z,-53.06,-43.42,NotVisible,FALSE,28.3,Bottom-Left,,,,,,
34,305,8,E,-17.82,-36.7,E,TRUE,75.3,Bottom-Center,,,,,,
34,306,9,P,36.8,-32.3,NotVisible,FALSE,17.3,Bottom-Right,,,,,,
35,307,1,Z,-47.43,32.8,NotVisible,FALSE,28.3,Top-Left,,,,,,
35,308,2,E,-15.72,26.45,E,TRUE,201,Top-Center,,,,,,
35,309,3,O,31.32,35.13,C,FALSE,122.9,Top-Right,,,,,,
35,310,4,D,-51.3,-19.2,D,TRUE,201,Middle-Left,,,,,,
35,311,5,T,-4.83,-20.24,T,TRUE,10.6,Middle-Center,,,,,,
35,312,6,F,32.82,-18.8,F,TRUE,46.1,Middle-Right,,,,,,
35,313,7,C,-47.29,-43.92,NotVisible,FALSE,6.5,Bottom-Left,,,,,,
35,314,8,P,-17.85,-33.65,P,TRUE,46.1,Bottom-Center,,,,,,
